RowID,Level,Term,SeeAlso,NonEssModif,MalignantPrimary,MalignantSecondary,CaInSitu,Benign,UncertainBehavior,UnspecifiedBehavior
356,2,ventricle,,,C71.5,C79.31,-,D33.0,D43.0,D49.6
357,3,fourth,,,C71.7,C79.31,-,D33.1,D43.1,D49.6
358,1,cervical region,,,C76.0,C79.89,D09.8,D36.7,D48.7,D49.89
359,1,cervix,,(cervical) (uteri) (uterus),C53.9,C79.82,D06.9,D26.0,D39.0,D49.59
360,2,canal,,,C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
361,2,endocervix,,(canal) (gland),C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
362,2,exocervix,,,C53.1,C79.82,D06.1,D26.0,D39.0,D49.59
363,2,external os,,,C53.1,C79.82,D06.1,D26.0,D39.0,D49.59
364,2,internal os,,,C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
365,2,nabothian gland,,,C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
366,2,overlapping lesion,,,C53.8,-,-,-,-,-
367,2,squamocolumnar junction,,,C53.8,C79.82,D06.7,D26.0,D39.0,D49.59
368,2,stump,,,C53.8,C79.82,D06.7,D26.0,D39.0,D49.59
369,1,cheek,,,C76.0,C79.89,D09.8,D36.7,D48.7,D49.89
370,2,external,,,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
371,3,basal cell carcinoma,,,C44.319,-,-,-,-,-
372,3,specified type NEC,,,C44.399,-,-,-,-,-
373,3,squamous cell carcinoma,,,C44.329,-,-,-,-,-
374,2,inner aspect,,,C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
375,2,internal,,,C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
376,2,mucosa,,,C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
377,1,chest,,(wall),C76.1,C79.89,D09.8,D36.7,D48.7,D49.89
378,1,chiasma opticum,,,C72.3-,C79.49,-,D33.3,D43.3,D49.7
379,1,chin,,,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
380,2,basal cell carcinoma,,,C44.319,-,-,-,-,-
381,2,specified type NEC,,,C44.399,-,-,-,-,-
382,2,squamous cell carcinoma,,,C44.329,-,-,-,-,-
383,1,choana,,,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
384,1,cholangiole,,,C22.1,C78.89,D01.5,D13.4,D37.6,D49.0
385,1,choledochal duct,,,C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
386,1,choroid,,,C69.3-,C79.49,D09.2-,D31.3-,D48.7,D49.81
387,2,plexus,,,C71.5,C79.31,-,D33.0,D43.0,D49.6
388,1,ciliary body,,,C69.4-,C79.49,D09.2-,D31.4-,D48.7,D49.89
389,1,clavicle,,,C41.3,C79.51,-,D16.7,D48.0,D49.2
390,1,clitoris,,,C51.2,C79.82,D07.1,D28.0,D39.8,D49.59
391,1,clivus,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
392,1,cloacogenic zone,,,C21.2,C78.5,D01.3,D12.9,D37.8,D49.0
393,1,coccygeal,,,,,,,,
394,2,body or glomus,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
395,2,vertebra,,,C41.4,C79.51,-,D16.8,D48.0,D49.2
396,1,coccyx,,,C41.4,C79.51,-,D16.8,D48.0,D49.2
397,1,colon,,,C18.9,C78.5,-,-,-,-
398,2,with rectum,,,C19,C78.5,D01.1,D12.7,D37.5,D49.0
399,1,"column, spinal","Neoplasm, spine",,,,,,,
400,1,columnella,,,C44.390,C79.2,D04.39,D23.39,D48.5,D49.2
401,1,commissure,,,,,,,,
402,2,"labial, lip",,,C00.6,C79.89,D00.01,D10.39,D37.01,D49.0
403,2,laryngeal,,,C32.0,C78.39,D02.0,D14.1,D38.0,D49.1
404,1,common,,(bile),C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
405,1,concha,,,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
406,2,nose,,,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
407,1,conjunctiva,,,C69.0-,C79.49,D09.2-,D31.0-,D48.7,D49.89
408,1,connective tissue NEC,,,C49.9,C79.89,-,D21.9,D48.1,D49.2
409,2,Note: For neoplasms of connective tissue,,"(blood vessel, bursa, fascia, ligament, muscle, peripheral nerves, sympathetic and parasympathetic nerves and ganglia, synovia, tendon, etc.) or of morphological types that indicate connective tissue, code according to the list under ""Neoplasm, connective tissue"". For sites that do not appear in this list, code to neoplasm of that site; e.g., fibrosarcoma, pancreas (C25.9)",,,,,,
410,2,"Note: Morphological types that indicate connective tissue appear in their proper place in the alphabetic index with the instruction ""see Neoplasm, connective tissue ....""",,,,,,,,
411,2,abdomen,,,C49.4,C79.89,-,D21.4,D48.1,D49.2
412,2,abdominal wall,,,C49.4,C79.89,-,D21.4,D48.1,D49.2
413,2,ankle,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
414,2,antecubital fossa or space,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
415,2,arm,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
416,2,auricle,,(ear),C49.0,C79.89,-,D21.0,D48.1,D49.2
417,2,axilla,,,C49.3,C79.89,-,D21.3,D48.1,D49.2
418,2,back,,,C49.6,C79.89,-,D21.6,D48.1,D49.2
419,2,breast,"Neoplasm, breast",,,,,,,
420,2,buttock,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
421,2,calf,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
422,2,cervical region,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
423,2,cheek,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
424,2,chest,,(wall),C49.3,C79.89,-,D21.3,D48.1,D49.2
425,2,chin,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
426,2,diaphragm,,,C49.3,C79.89,-,D21.3,D48.1,D49.2
427,2,ear,,(external),C49.0,C79.89,-,D21.0,D48.1,D49.2
428,2,elbow,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
429,2,extrarectal,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
430,2,extremity,,,C49.9,C79.89,-,D21.9,D48.1,D49.2
431,3,lower,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
432,3,upper,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
433,2,eyelid,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
434,2,face,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
435,2,finger,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
436,2,flank,,,C49.6,C79.89,-,D21.6,D48.1,D49.2
437,2,foot,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
438,2,forearm,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
439,2,forehead,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
440,2,gastric,,,C49.4,C79.89,-,D21.4,D48.1,D49.2
441,2,gastrointestinal,,,C49.4,C79.89,-,D21.4,D48.1,D49.2
442,2,gluteal region,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
443,2,great vessels NEC,,,C49.3,C79.89,-,D21.3,D48.1,D49.2
444,2,groin,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
445,2,hand,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
446,2,head,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
447,2,heel,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
448,2,hip,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
449,2,hypochondrium,,,C49.4,C79.89,-,D21.4,D48.1,D49.2
450,2,iliopsoas muscle,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
451,2,infraclavicular region,,,C49.3,C79.89,-,D21.3,D48.1,D49.2
452,2,inguinal,,(canal) (region),C49.5,C79.89,-,D21.5,D48.1,D49.2
453,2,intestinal,,,C49.4,C79.89,-,D21.4,D48.1,D49.2
454,2,intrathoracic,,,C49.3,C79.89,-,D21.3,D48.1,D49.2
455,2,ischiorectal fossa,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
456,2,jaw,,,C03.9,C79.89,D00.03,D10.39,D48.1,D49.0
457,2,knee,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
458,2,leg,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
459,2,limb NEC,,,C49.9,C79.89,-,D21.9,D48.1,D49.2
460,3,lower,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
461,3,upper,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
462,2,nates,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
463,2,neck,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
464,2,orbit,,,C69.6-,C79.49,D09.2-,D31.6-,D48.1,D49.89
465,2,overlapping lesion,,,C49.8,-,-,-,-,-
466,2,pararectal,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
467,2,para-urethral,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
468,2,paravaginal,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
469,2,pelvis,,(floor),C49.5,C79.89,-,D21.5,D48.1,D49.2
470,2,pelvo-abdominal,,,C49.8,C79.89,-,D21.6,D48.1,D49.2
471,2,perineum,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
472,2,perirectal,,(tissue),C49.5,C79.89,-,D21.5,D48.1,D49.2
473,2,periurethral,,(tissue),C49.5,C79.89,-,D21.5,D48.1,D49.2
474,2,popliteal fossa or space,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
475,2,presacral,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
476,2,psoas muscle,,,C49.4,C79.89,-,D21.4,D48.1,D49.2
477,2,pterygoid fossa,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
478,2,rectovaginal septum or wall,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
479,2,rectovesical,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
480,2,retroperitoneum,,,C48.0,C78.6,-,D20.0,D48.3,D49.0
481,2,sacrococcygeal region,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
482,2,scalp,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
483,2,scapular region,,,C49.3,C79.89,-,D21.3,D48.1,D49.2
484,2,shoulder,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
485,2,skin,,(dermis),C44.90,C79.2,D04.9,D23.9,D48.5,D49.2
486,2,stomach,,,C49.4,C79.89,-,D21.4,D48.1,D49.2
487,2,submental,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
488,2,supraclavicular region,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
489,2,temple,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
490,2,temporal region,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
491,2,thigh,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
492,2,thoracic,,(duct) (wall),C49.3,C79.89,-,D21.3,D48.1,D49.2
493,2,thorax,,,C49.3,C79.89,-,D21.3,D48.1,D49.2
494,2,thumb,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
495,2,toe,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
496,2,trunk,,,C49.6,C79.89,-,D21.6,D48.1,D49.2
497,2,umbilicus,,,C49.4,C79.89,-,D21.4,D48.1,D49.2
498,2,vesicorectal,,,C49.5,C79.89,-,D21.5,D48.1,D49.2
499,2,wrist,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
500,1,conus medullaris,,,C72.0,C79.49,-,D33.4,D43.4,D49.7
501,1,cord,,(true) (vocal),C32.0,C78.39,D02.0,D14.1,D38.0,D49.1
502,2,false,,,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
503,2,spermatic,,,C63.1-,C79.82,D07.69,D29.8,D40.8,D49.59
504,2,spinal,,(cervical) (lumbar) (thoracic),C72.0,C79.49,-,D33.4,D43.4,D49.7
505,1,cornea,,(limbus),C69.1-,C79.49,D09.2-,D31.1-,D48.7,D49.89
506,1,corpus,,,,,,,,
507,2,albicans,,,C56.-,C79.6-,D07.39,D27.-,D39.1-,D49.59
508,2,"callosum, brain",,,C71.0,C79.31,-,D33.2,D43.2,D49.6
509,2,cavernosum,,,C60.2,C79.82,D07.4,D29.0,D40.8,D49.59
510,2,gastric,,,C16.2,C78.89,D00.2,D13.1,D37.1,D49.0
511,2,overlapping sites,,,C54.8,-,-,-,-,-
512,2,penis,,,C60.2,C79.82,D07.4,D29.0,D40.8,D49.59
513,2,"striatum, cerebrum",,,C71.0,C79.31,-,D33.0,D43.0,D49.6
514,2,uteri,,,C54.9,C79.82,D07.0,D26.1,D39.0,D49.59
515,3,isthmus,,,C54.0,C79.82,D07.0,D26.1,D39.0,D49.59
516,1,cortex,,,,,,,,
517,2,adrenal,,,C74.0-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
518,2,cerebral,,,C71.0,C79.31,-,D33.0,D43.0,D49.6
519,1,costal cartilage,,,C41.3,C79.51,-,D16.7,D48.0,D49.2
520,1,costovertebral joint,,,C41.3,C79.51,-,D16.7,D48.0,D49.2
521,1,Cowper's gland,,,C68.0,C79.19,D09.19,D30.4,D41.3,D49.59
522,1,cranial,,"(fossa, any)",C71.9,C79.31,-,D33.2,D43.2,D49.6
523,2,meninges,,,C70.0,C79.32,-,D32.0,D42.0,D49.7
524,2,nerve,,,C72.50,C79.49,-,D33.3,D43.3,D49.7
525,3,specified NEC,,,C72.59,C79.49,-,D33.3,D43.3,D49.7
526,1,craniobuccal pouch,,,C75.2,C79.89,D09.3,D35.2,D44.3,D49.7
527,1,craniopharyngeal,,(duct) (pouch),C75.2,C79.89,D09.3,D35.3,D44.4,D49.7
528,1,cricoid,,,C13.0,C79.89,D00.08,D10.7,D37.05,D49.0
529,2,cartilage,,,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
530,1,cricopharynx,,,C13.0,C79.89,D00.08,D10.7,D37.05,D49.0
531,1,crypt of Morgagni,,,C21.8,C78.5,D01.3,D12.9,D37.8,D49.0
532,1,crystalline lens,,,C69.4-,C79.49,D09.2-,D31.4-,D48.7,D49.89
533,1,cul-de-sac,,(Douglas'),C48.1,C78.6,-,D20.1,D48.4,D49.0
534,1,cuneiform cartilage,,,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
535,1,cutaneous,"Neoplasm, skin",,,,,,,
536,1,cutis,"Neoplasm, skin",,,,,,,
537,1,cystic,,(bile) duct (common),C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
538,1,dermis,"Neoplasm, skin",,,,,,,
539,1,diaphragm,,,C49.3,C79.89,-,D21.3,D48.1,D49.2
540,1,"digestive organs, system, tube, or tract NEC",,,C26.9,C78.89,D01.9,D13.99,D37.9,D49.0
541,1,"disc, intervertebral",,,C41.2,C79.51,-,D16.6,D48.0,D49.2
542,1,"disease, generalized",,,C80.0,-,-,-,-,-
543,1,disseminated,,,C80.0,-,-,-,-,-
544,1,Douglas' cul-de-sac or pouch,,,C48.1,C78.6,-,D20.1,D48.4,D49.0
545,1,duodenojejunal junction,,,C17.8,C78.4,D01.49,D13.39,D37.2,D49.0
546,1,duodenum,,,C17.0,C78.4,D01.49,D13.2,D37.2,D49.0
547,1,dura,,(cranial) (mater),C70.9,C79.49,-,D32.9,D42.9,D49.7
548,2,cerebral,,,C70.0,C79.32,-,D32.0,D42.0,D49.7
549,2,spinal,,,C70.1,C79.49,-,D32.1,D42.1,D49.7
550,1,ear,,(external),C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
551,2,auricle or auris,,,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
552,2,"canal, external",,,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
553,2,cartilage,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
554,2,external meatus,,,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
555,2,inner,,,C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
556,2,lobule,,,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
557,2,middle,,,C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
558,2,overlapping lesion with accessory sinuses,,,C31.8,-,-,-,-,-
559,2,skin,,,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
560,3,basal cell carcinoma,,,C44.21-,-,-,-,-,-
561,3,specified type NEC,,,C44.29-,-,-,-,-,-
562,3,squamous cell carcinoma,,,C44.22-,-,-,-,-,-
563,1,earlobe,,,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
564,2,basal cell carcinoma,,,C44.21-,-,-,-,-,-
565,2,specified type NEC,,,C44.29-,-,-,-,-,-
566,2,squamous cell carcinoma,,,C44.22-,-,-,-,-,-
567,1,ejaculatory duct,,,C63.7,C79.82,D07.69,D29.8,D40.8,D49.59
568,1,elbow NEC,,,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
569,1,endocardium,,,C38.0,C79.89,-,D15.1,D48.7,D49.89
570,1,endocervix,,(canal) (gland),C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
571,1,endocrine gland NEC,,,C75.9,C79.89,D09.3,D35.9,D44.9,D49.7
572,2,pluriglandular,,,C75.8,C79.89,D09.3,D35.7,D44.9,D49.7
573,1,endometrium,,(gland) (stroma),C54.1,C79.82,D07.0,D26.1,D39.0,D49.59
574,1,ensiform cartilage,,,C41.3,C79.51,-,D16.7,D48.0,D49.2
575,1,enteric,"Neoplasm, intestine",,,,,,,
576,1,ependyma,,(brain),C71.5,C79.31,-,D33.0,D43.0,D49.6
577,2,fourth ventricle,,,C71.7,C79.31,-,D33.1,D43.1,D49.6
578,1,epicardium,,,C38.0,C79.89,-,D15.1,D48.7,D49.89
579,1,epididymis,,,C63.0-,C79.82,D07.69,D29.3-,D40.8,D49.59
580,1,epidural,,,C72.9,C79.49,-,D33.9,D43.9,D49.7
581,1,epiglottis,,,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
582,2,anterior aspect or surface,,,C10.1,C79.89,D00.08,D10.5,D37.05,D49.0
583,2,cartilage,,,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
584,2,free border,,(margin),C10.1,C79.89,D00.08,D10.5,D37.05,D49.0
585,2,junctional region,,,C10.8,C79.89,D00.08,D10.5,D37.05,D49.0
586,2,posterior,,(laryngeal),C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
587,2,suprahyoid portion,,,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
588,1,esophagogastric junction,,,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
589,1,esophagus,,,C15.9,C78.89,D00.1,D13.0,D37.8,D49.0
590,2,abdominal,,,C15.5,C78.89,D00.1,D13.0,D37.8,D49.0
591,2,cervical,,,C15.3,C78.89,D00.1,D13.0,D37.8,D49.0
592,2,distal,,(third),C15.5,C78.89,D00.1,D13.0,D37.8,D49.0
593,2,lower,,(third),C15.5,C78.89,D00.1,D13.0,D37.8,D49.0
594,2,middle,,(third),C15.4,C78.89,D00.1,D13.0,D37.8,D49.0
595,2,overlapping lesion,,,C15.8,-,-,-,-,-
596,2,proximal,,(third),C15.3,C78.89,D00.1,D13.0,D37.8,D49.0
597,2,thoracic,,,C15.4,C78.89,D00.1,D13.0,D37.8,D49.0
598,2,upper,,(third),C15.3,C78.89,D00.1,D13.0,D37.8,D49.0
599,1,ethmoid,,(sinus),C31.1,C78.39,D02.3,D14.0,D38.5,D49.1
600,2,bone or labyrinth,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
601,1,eustachian tube,,,C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
602,1,exocervix,,,C53.1,C79.82,D06.1,D26.0,D39.0,D49.59
603,1,external,,,,,,,,
604,2,meatus,,(ear),C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
605,2,"os, cervix uteri",,,C53.1,C79.82,D06.1,D26.0,D39.0,D49.59
606,1,extradural,,,C72.9,C79.49,-,D33.9,D43.9,D49.7
607,1,extrahepatic,,(bile),C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
608,2,overlapping lesion with gallbladder,,,C24.8,-,-,-,-,-
609,1,extraocular muscle,,,C69.6-,C79.49,D09.2-,D31.6-,D48.7,D49.89
610,1,extrarectal,,,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
611,1,extremity,,,C76.8,C79.89,D04.8,D36.7,D48.7,D49.89
612,2,lower,,,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
613,2,upper,,,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
614,1,eye NEC,,,C69.9-,C79.49,D09.2,D31.9,D48.7,D49.89
615,2,overlapping sites,,,C69.8,-,-,-,-,-
616,1,eyeball,,,C69.9-,C79.49,D09.2-,D31.9-,D48.7,D49.89
617,1,eyebrow,,,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
618,2,basal cell carcinoma,,,C44.319,-,-,-,-,-
619,2,specified type NEC,,,C44.399,-,-,-,-,-
620,2,squamous cell carcinoma,,,C44.329,-,-,-,-,-
621,1,eyelid,,(lower) (skin) (upper),C44.10-,-,-,-,-,-
622,2,basal cell carcinoma,,,C44.11-,-,-,-,-,-
623,2,sebaceous cell,,,C44.13-,-,-,-,-,-
624,2,specified type NEC,,,C44.19-,-,-,-,-,-
625,2,squamous cell carcinoma,,,C44.12-,-,-,-,-,-
626,2,cartilage,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
627,1,face NEC,,,C76.0,C79.89,D04.39,D36.7,D48.7,D49.89
628,1,fallopian tube,,(accessory),C57.0-,C79.82,D07.39,D28.2,D39.8,D49.59
629,1,falx,,(cerebella) (cerebri),C70.0,C79.32,-,D32.0,D42.0,D49.7
630,1,fascia,,,,,,,,
631,2,palmar,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
632,2,plantar,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
633,1,fatty tissue,"Neoplasm, connective tissue",,,,,,,
634,1,"fauces, faucial NEC",,,C10.9,C79.89,D00.08,D10.5,D37.05,D49.0
635,2,pillars,,,C09.1,C79.89,D00.08,D10.5,D37.05,D49.0
636,2,tonsil,,,C09.9,C79.89,D00.08,D10.4,D37.05,D49.0
637,1,femur,,(any part),C40.2-,-,-,D16.2-,-,-
638,1,fetal membrane,,,C58,C79.82,D07.0,D26.7,D39.2,D49.59
639,1,fibrous tissue,"Neoplasm, connective tissue",,,,,,,
640,1,fibula,,(any part),C40.2-,C79.51,-,D16.2-,-,-
641,1,filum terminale,,,C72.0,C79.49,-,D33.4,D43.4,D49.7
642,1,finger NEC,,,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
643,1,flank NEC,,,C76.8,C79.89,D04.5,D36.7,D48.7,D49.89
644,1,"follicle, nabothian",,,C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
645,1,foot NEC,,,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
646,1,forearm NEC,,,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
647,1,forehead,,(skin),C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
648,2,basal cell carcinoma,,,C44.319,-,-,-,-,-
649,2,specified type NEC,,,C44.399,-,-,-,-,-
650,2,squamous cell carcinoma,,,C44.329,-,-,-,-,-
651,1,foreskin,,,C60.0,C79.82,D07.4,D29.0,D40.8,D49.59
652,1,fornix,,,,,,,,
653,2,pharyngeal,,,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
654,2,vagina,,,C52,C79.82,D07.2,D28.1,D39.8,D49.59
655,1,fossa,,(of),,,,,,
656,2,anterior,,(cranial),C71.9,C79.31,-,D33.2,D43.2,D49.6
657,2,cranial,,,C71.9,C79.31,-,D33.2,D43.2,D49.6
658,2,ischiorectal,,,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
659,2,middle,,(cranial),C71.9,C79.31,-,D33.2,D43.2,D49.6
660,2,piriform,,,C12,C79.89,D00.08,D10.7,D37.05,D49.0
661,2,pituitary,,,C75.1,C79.89,D09.3,D35.2,D44.3,D49.7
662,2,posterior,,(cranial),C71.9,C79.31,-,D33.2,D43.2,D49.6
663,2,pterygoid,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
664,2,pyriform,,,C12,C79.89,D00.08,D10.7,D37.05,D49.0
665,2,Rosenmuller,,,C11.2,C79.89,D00.08,D10.6,D37.05,D49.0
666,2,tonsillar,,,C09.0,C79.89,D00.08,D10.5,D37.05,D49.0
667,1,fourchette,,,C51.9,C79.82,D07.1,D28.0,D39.8,D49.59
668,1,frenulum,,,,,,,,
669,2,labii,"Neoplasm, lip, internal",,,,,,,
670,2,linguae,,,C02.2,C79.89,D00.07,D10.1,D37.02,D49.0
671,1,frontal,,,,,,,,
672,2,bone,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
673,2,"lobe, brain",,,C71.1,C79.31,-,D33.0,D43.0,D49.6
674,2,pole,,,C71.1,C79.31,-,D33.0,D43.0,D49.6
675,2,sinus,,,C31.2,C78.39,D02.3,D14.0,D38.5,D49.1
676,1,fundus,,,,,,,,
677,2,stomach,,,C16.1,C78.89,D00.2,D13.1,D37.1,D49.0
678,2,uterus,,,C54.3,C79.82,D07.0,D26.1,D39.0,D49.59
679,1,gall duct,,(extrahepatic),C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
680,2,intrahepatic,,,C22.1,C78.7,D01.5,D13.4,D37.6,D49.0
681,1,gallbladder,,,C23,C78.89,D01.5,D13.5,D37.6,D49.0
682,2,overlapping lesion with extrahepatic bile ducts,,,C24.8,-,-,-,-,-
683,1,ganglia,,,C47.9,C79.89,-,D36.10,D48.2,D49.2
684,2,basal,,,C71.0,C79.31,-,D33.0,D43.0,D49.6
685,2,cranial nerve,,,C72.50,C79.49,-,D33.3,D43.3,D49.7
686,1,Gartner's duct,,,C52,C79.82,D07.2,D28.1,D39.8,D49.59
687,1,gastric,"Neoplasm, stomach",,,,,,,
688,1,gastrocolic,,,C26.9,C78.89,D01.9,D13.99,D37.9,D49.0
689,1,gastroesophageal junction,,,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
690,1,gastrointestinal,,(tract),C26.9,C78.89,D01.9,D13.99,D37.9,D49.0
691,1,generalized,,,C80.0,-,-,-,-,-
692,1,genital organ or tract,,,,,,,,
693,2,female NEC,,,C57.9,C79.82,D07.30,D28.9,D39.9,D49.59
694,3,overlapping lesion,,,C57.8,-,-,-,-,-
695,3,specified site NEC,,,C57.7,C79.82,D07.39,D28.7,D39.8,D49.59
696,2,male NEC,,,C63.9,C79.82,D07.60,D29.9,D40.9,D49.59
697,3,overlapping lesion,,,C63.8,-,-,-,-,-
698,3,specified site NEC,,,C63.7,C79.82,D07.69,D29.8,D40.8,D49.59
699,1,genitourinary tract,,,,,,,,
700,2,female,,,C57.9,C79.82,D07.30,D28.9,D39.9,D49.59
701,2,male,,,C63.9,C79.82,D07.60,D29.9,D40.9,D49.59
702,1,gingiva,,(alveolar) (marginal),C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
703,2,lower,,,C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
704,2,mandibular,,,C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
705,2,maxillary,,,C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
706,2,upper,,,C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
707,1,"gland, glandular",,(lymphatic) (system),,,,,,
708,2,endocrine NEC,,,C75.9,C79.89,D09.3,D35.9,D44.9,D49.7
709,2,salivary,"Neoplasm, salivary gland",,,,,,,
710,1,glans penis,,,C60.1,C79.82,D07.4,D29.0,D40.8,D49.59
