Code,Description,ChapterID,SectionID
J34.81,Nasal mucositis (ulcerative),10,J30-J39
J34.82,Nasal valve collapse,10,J30-J39
J34.820,Internal nasal valve collapse,10,J30-J39
J34.8200,"Internal nasal valve collapse, unspecified",10,J30-J39
J34.8201,"Internal nasal valve collapse, static",10,J30-J39
J34.8202,"Internal nasal valve collapse, dynamic",10,J30-J39
J34.821,External nasal valve collapse,10,J30-J39
J34.8210,"External nasal valve collapse, unspecified",10,J30-J39
J34.8211,"External nasal valve collapse, static",10,J30-J39
J34.8212,"External nasal valve collapse, dynamic",10,J30-J39
J34.829,"Nasal valve collapse, unspecified",10,J30-J39
J34.89,Other specified disorders of nose and nasal sinuses,10,J30-J39
J34.9,Unspecified disorder of nose and nasal sinuses,10,J30-J39
J35,Chronic diseases of tonsils and adenoids,10,J30-J39
J35.0,Chronic tonsillitis and adenoiditis,10,J30-J39
J35.01,Chronic tonsillitis,10,J30-J39
J35.02,Chronic adenoiditis,10,J30-J39
J35.03,Chronic tonsillitis and adenoiditis,10,J30-J39
J35.1,Hypertrophy of tonsils,10,J30-J39
J35.2,Hypertrophy of adenoids,10,J30-J39
J35.3,Hypertrophy of tonsils with hypertrophy of adenoids,10,J30-J39
J35.8,Other chronic diseases of tonsils and adenoids,10,J30-J39
J35.9,"Chronic disease of tonsils and adenoids, unspecified",10,J30-J39
J36,Peritonsillar abscess,10,J30-J39
J37,Chronic laryngitis and laryngotracheitis,10,J30-J39
J37.0,Chronic laryngitis,10,J30-J39
J37.1,Chronic laryngotracheitis,10,J30-J39
J38,"Diseases of vocal cords and larynx, not elsewhere classified",10,J30-J39
J38.0,Paralysis of vocal cords and larynx,10,J30-J39
J38.00,"Paralysis of vocal cords and larynx, unspecified",10,J30-J39
J38.01,"Paralysis of vocal cords and larynx, unilateral",10,J30-J39
J38.02,"Paralysis of vocal cords and larynx, bilateral",10,J30-J39
J38.1,Polyp of vocal cord and larynx,10,J30-J39
J38.2,Nodules of vocal cords,10,J30-J39
J38.3,Other diseases of vocal cords,10,J30-J39
J38.4,Edema of larynx,10,J30-J39
J38.5,Laryngeal spasm,10,J30-J39
J38.6,Stenosis of larynx,10,J30-J39
J38.7,Other diseases of larynx,10,J30-J39
J39,Other diseases of upper respiratory tract,10,J30-J39
J39.0,Retropharyngeal and parapharyngeal abscess,10,J30-J39
J39.1,Other abscess of pharynx,10,J30-J39
J39.2,Other diseases of pharynx,10,J30-J39
J39.3,"Upper respiratory tract hypersensitivity reaction, site unspecified",10,J30-J39
J39.8,Other specified diseases of upper respiratory tract,10,J30-J39
J39.9,"Disease of upper respiratory tract, unspecified",10,J30-J39
J40,"Bronchitis, not specified as acute or chronic",10,J40-J4A
J41,Simple and mucopurulent chronic bronchitis,10,J40-J4A
J41.0,Simple chronic bronchitis,10,J40-J4A
J41.1,Mucopurulent chronic bronchitis,10,J40-J4A
J41.8,Mixed simple and mucopurulent chronic bronchitis,10,J40-J4A
J42,Unspecified chronic bronchitis,10,J40-J4A
J43,Emphysema,10,J40-J4A
J43.0,Unilateral pulmonary emphysema [MacLeod's syndrome],10,J40-J4A
J43.1,Panlobular emphysema,10,J40-J4A
J43.2,Centrilobular emphysema,10,J40-J4A
J43.8,Other emphysema,10,J40-J4A
J43.9,"Emphysema, unspecified",10,J40-J4A
J44,Other chronic obstructive pulmonary disease,10,J40-J4A
J44.0,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,10,J40-J4A
J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation,10,J40-J4A
J44.8,Other specified chronic obstructive pulmonary disease,10,J40-J4A
J44.81,Bronchiolitis obliterans and bronchiolitis obliterans syndrome,10,J40-J4A
J44.89,Other specified chronic obstructive pulmonary disease,10,J40-J4A
J44.9,"Chronic obstructive pulmonary disease, unspecified",10,J40-J4A
J4A,Chronic lung allograft dysfunction,10,J40-J4A
J4A.0,Restrictive allograft syndrome,10,J40-J4A
J4A.8,Other chronic lung allograft dysfunction,10,J40-J4A
J4A.9,"Chronic lung allograft dysfunction, unspecified",10,J40-J4A
J45,Asthma,10,J40-J4A
J45.2,Mild intermittent asthma,10,J40-J4A
J45.20,"Mild intermittent asthma, uncomplicated",10,J40-J4A
J45.21,Mild intermittent asthma with (acute) exacerbation,10,J40-J4A
J45.22,Mild intermittent asthma with status asthmaticus,10,J40-J4A
J45.3,Mild persistent asthma,10,J40-J4A
J45.30,"Mild persistent asthma, uncomplicated",10,J40-J4A
J45.31,Mild persistent asthma with (acute) exacerbation,10,J40-J4A
J45.32,Mild persistent asthma with status asthmaticus,10,J40-J4A
J45.4,Moderate persistent asthma,10,J40-J4A
J45.40,"Moderate persistent asthma, uncomplicated",10,J40-J4A
J45.41,Moderate persistent asthma with (acute) exacerbation,10,J40-J4A
J45.42,Moderate persistent asthma with status asthmaticus,10,J40-J4A
J45.5,Severe persistent asthma,10,J40-J4A
J45.50,"Severe persistent asthma, uncomplicated",10,J40-J4A
J45.51,Severe persistent asthma with (acute) exacerbation,10,J40-J4A
J45.52,Severe persistent asthma with status asthmaticus,10,J40-J4A
J45.9,Other and unspecified asthma,10,J40-J4A
J45.90,Unspecified asthma,10,J40-J4A
J45.901,Unspecified asthma with (acute) exacerbation,10,J40-J4A
J45.902,Unspecified asthma with status asthmaticus,10,J40-J4A
J45.909,"Unspecified asthma, uncomplicated",10,J40-J4A
J45.99,Other asthma,10,J40-J4A
J45.990,Exercise induced bronchospasm,10,J40-J4A
J45.991,Cough variant asthma,10,J40-J4A
J45.998,Other asthma,10,J40-J4A
J47,Bronchiectasis,10,J40-J4A
J47.0,Bronchiectasis with acute lower respiratory infection,10,J40-J4A
J47.1,Bronchiectasis with (acute) exacerbation,10,J40-J4A
J47.9,"Bronchiectasis, uncomplicated",10,J40-J4A
J60,Coalworker's pneumoconiosis,10,J60-J70
J61,Pneumoconiosis due to asbestos and other mineral fibers,10,J60-J70
J62,Pneumoconiosis due to dust containing silica,10,J60-J70
J62.0,Pneumoconiosis due to talc dust,10,J60-J70
J62.8,Pneumoconiosis due to other dust containing silica,10,J60-J70
J63,Pneumoconiosis due to other inorganic dusts,10,J60-J70
J63.0,Aluminosis (of lung),10,J60-J70
J63.1,Bauxite fibrosis (of lung),10,J60-J70
J63.2,Berylliosis,10,J60-J70
J63.3,Graphite fibrosis (of lung),10,J60-J70
J63.4,Siderosis,10,J60-J70
J63.5,Stannosis,10,J60-J70
J63.6,Pneumoconiosis due to other specified inorganic dusts,10,J60-J70
J64,Unspecified pneumoconiosis,10,J60-J70
J65,Pneumoconiosis associated with tuberculosis,10,J60-J70
J66,Airway disease due to specific organic dust,10,J60-J70
J66.0,Byssinosis,10,J60-J70
J66.1,Flax-dressers' disease,10,J60-J70
J66.2,Cannabinosis,10,J60-J70
J66.8,Airway disease due to other specific organic dusts,10,J60-J70
J67,Hypersensitivity pneumonitis due to organic dust,10,J60-J70
J67.0,Farmer's lung,10,J60-J70
J67.1,Bagassosis,10,J60-J70
J67.2,Bird fancier's lung,10,J60-J70
J67.3,Suberosis,10,J60-J70
J67.4,Maltworker's lung,10,J60-J70
J67.5,Mushroom-worker's lung,10,J60-J70
J67.6,Maple-bark-stripper's lung,10,J60-J70
J67.7,Air conditioner and humidifier lung,10,J60-J70
J67.8,Hypersensitivity pneumonitis due to other organic dusts,10,J60-J70
J67.9,Hypersensitivity pneumonitis due to unspecified organic dust,10,J60-J70
J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors",10,J60-J70
J68.0,"Bronchitis and pneumonitis due to chemicals, gases, fumes and vapors",10,J60-J70
J68.1,"Pulmonary edema due to chemicals, gases, fumes and vapors",10,J60-J70
J68.2,"Upper respiratory inflammation due to chemicals, gases, fumes and vapors, not elsewhere classified",10,J60-J70
J68.3,"Other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapors",10,J60-J70
J68.4,"Chronic respiratory conditions due to chemicals, gases, fumes and vapors",10,J60-J70
J68.8,"Other respiratory conditions due to chemicals, gases, fumes and vapors",10,J60-J70
J68.9,"Unspecified respiratory condition due to chemicals, gases, fumes and vapors",10,J60-J70
J69,Pneumonitis due to solids and liquids,10,J60-J70
J69.0,Pneumonitis due to inhalation of food and vomit,10,J60-J70
J69.1,Pneumonitis due to inhalation of oils and essences,10,J60-J70
J69.8,Pneumonitis due to inhalation of other solids and liquids,10,J60-J70
J70,Respiratory conditions due to other external agents,10,J60-J70
J70.0,Acute pulmonary manifestations due to radiation,10,J60-J70
J70.1,Chronic and other pulmonary manifestations due to radiation,10,J60-J70
J70.2,Acute drug-induced interstitial lung disorders,10,J60-J70
J70.3,Chronic drug-induced interstitial lung disorders,10,J60-J70
J70.4,"Drug-induced interstitial lung disorders, unspecified",10,J60-J70
J70.5,Respiratory conditions due to smoke inhalation,10,J60-J70
J70.8,Respiratory conditions due to other specified external agents,10,J60-J70
J70.9,Respiratory conditions due to unspecified external agent,10,J60-J70
J80,Acute respiratory distress syndrome,10,J80-J84
J81,Pulmonary edema,10,J80-J84
J81.0,Acute pulmonary edema,10,J80-J84
J81.1,Chronic pulmonary edema,10,J80-J84
J82,"Pulmonary eosinophilia, not elsewhere classified",10,J80-J84
J82.8,"Pulmonary eosinophilia, not elsewhere classified",10,J80-J84
J82.81,Chronic eosinophilic pneumonia,10,J80-J84
J82.82,Acute eosinophilic pneumonia,10,J80-J84
J82.83,Eosinophilic asthma,10,J80-J84
J82.89,"Other pulmonary eosinophilia, not elsewhere classified",10,J80-J84
J84,Other interstitial pulmonary diseases,10,J80-J84
J84.0,Alveolar and parieto-alveolar conditions,10,J80-J84
J84.01,Alveolar proteinosis,10,J80-J84
J84.02,Pulmonary alveolar microlithiasis,10,J80-J84
J84.03,Idiopathic pulmonary hemosiderosis,10,J80-J84
J84.09,Other alveolar and parieto-alveolar conditions,10,J80-J84
J84.1,Other interstitial pulmonary diseases with fibrosis,10,J80-J84
J84.10,"Pulmonary fibrosis, unspecified",10,J80-J84
J84.11,Idiopathic interstitial pneumonia,10,J80-J84
J84.111,"Idiopathic interstitial pneumonia, not otherwise specified",10,J80-J84
J84.112,Idiopathic pulmonary fibrosis,10,J80-J84
J84.113,Idiopathic non-specific interstitial pneumonitis,10,J80-J84
J84.114,Acute interstitial pneumonitis,10,J80-J84
J84.115,Respiratory bronchiolitis interstitial lung disease,10,J80-J84
J84.116,Cryptogenic organizing pneumonia,10,J80-J84
J84.117,Desquamative interstitial pneumonia,10,J80-J84
J84.17,Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere,10,J80-J84
J84.170,Interstitial lung disease with progressive fibrotic phenotype in diseases classified elsewhere,10,J80-J84
J84.178,Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere,10,J80-J84
J84.2,Lymphoid interstitial pneumonia,10,J80-J84
J84.8,Other specified interstitial pulmonary diseases,10,J80-J84
J84.81,Lymphangioleiomyomatosis,10,J80-J84
J84.82,Adult pulmonary Langerhans cell histiocytosis,10,J80-J84
J84.83,Surfactant mutations of the lung,10,J80-J84
J84.84,Other interstitial lung diseases of childhood,10,J80-J84
J84.841,Neuroendocrine cell hyperplasia of infancy,10,J80-J84
J84.842,Pulmonary interstitial glycogenosis,10,J80-J84
J84.843,Alveolar capillary dysplasia with vein misalignment,10,J80-J84
J84.848,Other interstitial lung diseases of childhood,10,J80-J84
J84.89,Other specified interstitial pulmonary diseases,10,J80-J84
J84.9,"Interstitial pulmonary disease, unspecified",10,J80-J84
J85,Abscess of lung and mediastinum,10,J85-J86
J85.0,Gangrene and necrosis of lung,10,J85-J86
J85.1,Abscess of lung with pneumonia,10,J85-J86
J85.2,Abscess of lung without pneumonia,10,J85-J86
J85.3,Abscess of mediastinum,10,J85-J86
J86,Pyothorax,10,J85-J86
J86.0,Pyothorax with fistula,10,J85-J86
J86.9,Pyothorax without fistula,10,J85-J86
J90,"Pleural effusion, not elsewhere classified",10,J90-J94
J91,Pleural effusion in conditions classified elsewhere,10,J90-J94
J91.0,Malignant pleural effusion,10,J90-J94
J91.8,Pleural effusion in other conditions classified elsewhere,10,J90-J94
J92,Pleural plaque,10,J90-J94
J92.0,Pleural plaque with presence of asbestos,10,J90-J94
J92.9,Pleural plaque without asbestos,10,J90-J94
J93,Pneumothorax and air leak,10,J90-J94
J93.0,Spontaneous tension pneumothorax,10,J90-J94
J93.1,Other spontaneous pneumothorax,10,J90-J94
J93.11,Primary spontaneous pneumothorax,10,J90-J94
J93.12,Secondary spontaneous pneumothorax,10,J90-J94
J93.8,Other pneumothorax and air leak,10,J90-J94
J93.81,Chronic pneumothorax,10,J90-J94
J93.82,Other air leak,10,J90-J94
J93.83,Other pneumothorax,10,J90-J94
J93.9,"Pneumothorax, unspecified",10,J90-J94
J94,Other pleural conditions,10,J90-J94
J94.0,Chylous effusion,10,J90-J94
J94.1,Fibrothorax,10,J90-J94
J94.2,Hemothorax,10,J90-J94
J94.8,Other specified pleural conditions,10,J90-J94
J94.9,"Pleural condition, unspecified",10,J90-J94
J95,"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",10,J95
J95.0,Tracheostomy complications,10,J95
J95.00,Unspecified tracheostomy complication,10,J95
J95.01,Hemorrhage from tracheostomy stoma,10,J95
J95.02,Infection of tracheostomy stoma,10,J95
J95.03,Malfunction of tracheostomy stoma,10,J95
J95.04,Tracheo-esophageal fistula following tracheostomy,10,J95
J95.09,Other tracheostomy complication,10,J95
J95.1,Acute pulmonary insufficiency following thoracic surgery,10,J95
J95.2,Acute pulmonary insufficiency following nonthoracic surgery,10,J95
J95.3,Chronic pulmonary insufficiency following surgery,10,J95
J95.4,Chemical pneumonitis due to anesthesia,10,J95
J95.5,Postprocedural subglottic stenosis,10,J95
J95.6,Intraoperative hemorrhage and hematoma of a respiratory system organ or structure complicating a procedure,10,J95
J95.61,Intraoperative hemorrhage and hematoma of a respiratory system organ or structure complicating a respiratory system procedure,10,J95
J95.62,Intraoperative hemorrhage and hematoma of a respiratory system organ or structure complicating other procedure,10,J95
J95.7,Accidental puncture and laceration of a respiratory system organ or structure during a procedure,10,J95
J95.71,Accidental puncture and laceration of a respiratory system organ or structure during a respiratory system procedure,10,J95
J95.72,Accidental puncture and laceration of a respiratory system organ or structure during other procedure,10,J95
J95.8,"Other intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",10,J95
J95.81,Postprocedural pneumothorax and air leak,10,J95
J95.811,Postprocedural pneumothorax,10,J95
J95.812,Postprocedural air leak,10,J95
J95.82,Postprocedural respiratory failure,10,J95
J95.821,Acute postprocedural respiratory failure,10,J95
J95.822,Acute and chronic postprocedural respiratory failure,10,J95
J95.83,Postprocedural hemorrhage of a respiratory system organ or structure following a procedure,10,J95
J95.830,Postprocedural hemorrhage of a respiratory system organ or structure following a respiratory system procedure,10,J95
J95.831,Postprocedural hemorrhage of a respiratory system organ or structure following other procedure,10,J95
J95.84,Transfusion-related acute lung injury (TRALI),10,J95
J95.85,Complication of respirator [ventilator],10,J95
J95.850,Mechanical complication of respirator,10,J95
J95.851,Ventilator associated pneumonia,10,J95
J95.859,Other complication of respirator [ventilator],10,J95
J95.86,Postprocedural hematoma and seroma of a respiratory system organ or structure following a procedure,10,J95
J95.860,Postprocedural hematoma of a respiratory system organ or structure following a respiratory system procedure,10,J95
J95.861,Postprocedural hematoma of a respiratory system organ or structure following other procedure,10,J95
J95.862,Postprocedural seroma of a respiratory system organ or structure following a respiratory system procedure,10,J95
J95.863,Postprocedural seroma of a respiratory system organ or structure following other procedure,10,J95
J95.87,Transfusion-associated dyspnea (TAD),10,J95
J95.88,"Other intraoperative complications of respiratory system, not elsewhere classified",10,J95
J95.89,"Other postprocedural complications and disorders of respiratory system, not elsewhere classified",10,J95
J96,"Respiratory failure, not elsewhere classified",10,J96-J99
J96.0,Acute respiratory failure,10,J96-J99
J96.00,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",10,J96-J99
J96.01,Acute respiratory failure with hypoxia,10,J96-J99
J96.02,Acute respiratory failure with hypercapnia,10,J96-J99
J96.1,Chronic respiratory failure,10,J96-J99
J96.10,"Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",10,J96-J99
J96.11,Chronic respiratory failure with hypoxia,10,J96-J99
J96.12,Chronic respiratory failure with hypercapnia,10,J96-J99
J96.2,Acute and chronic respiratory failure,10,J96-J99
J96.20,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",10,J96-J99
J96.21,Acute and chronic respiratory failure with hypoxia,10,J96-J99
J96.22,Acute and chronic respiratory failure with hypercapnia,10,J96-J99
J96.9,"Respiratory failure, unspecified",10,J96-J99
J96.90,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia",10,J96-J99
J96.91,"Respiratory failure, unspecified with hypoxia",10,J96-J99
J96.92,"Respiratory failure, unspecified with hypercapnia",10,J96-J99
J98,Other respiratory disorders,10,J96-J99
J98.0,"Diseases of bronchus, not elsewhere classified",10,J96-J99
J98.01,Acute bronchospasm,10,J96-J99
J98.09,"Other diseases of bronchus, not elsewhere classified",10,J96-J99
J98.1,Pulmonary collapse,10,J96-J99
J98.11,Atelectasis,10,J96-J99
J98.19,Other pulmonary collapse,10,J96-J99
J98.2,Interstitial emphysema,10,J96-J99
J98.3,Compensatory emphysema,10,J96-J99
J98.4,Other disorders of lung,10,J96-J99
J98.5,"Diseases of mediastinum, not elsewhere classified",10,J96-J99
J98.51,Mediastinitis,10,J96-J99
J98.59,"Other diseases of mediastinum, not elsewhere classified",10,J96-J99
J98.6,Disorders of diaphragm,10,J96-J99
J98.8,Other specified respiratory disorders,10,J96-J99
J98.9,"Respiratory disorder, unspecified",10,J96-J99
J99,Respiratory disorders in diseases classified elsewhere,10,J96-J99
K00,Disorders of tooth development and eruption,11,K00-K14
K00.0,Anodontia,11,K00-K14
K00.1,Supernumerary teeth,11,K00-K14
K00.2,Abnormalities of size and form of teeth,11,K00-K14
K00.3,Mottled teeth,11,K00-K14
K00.4,Disturbances in tooth formation,11,K00-K14
K00.5,"Hereditary disturbances in tooth structure, not elsewhere classified",11,K00-K14
K00.6,Disturbances in tooth eruption,11,K00-K14
K00.7,Teething syndrome,11,K00-K14
K00.8,Other disorders of tooth development,11,K00-K14
K00.9,"Disorder of tooth development, unspecified",11,K00-K14
K01,Embedded and impacted teeth,11,K00-K14
K01.0,Embedded teeth,11,K00-K14
K01.1,Impacted teeth,11,K00-K14
K02,Dental caries,11,K00-K14
K02.3,Arrested dental caries,11,K00-K14
K02.5,Dental caries on pit and fissure surface,11,K00-K14
K02.51,Dental caries on pit and fissure surface limited to enamel,11,K00-K14
K02.52,Dental caries on pit and fissure surface penetrating into dentin,11,K00-K14
K02.53,Dental caries on pit and fissure surface penetrating into pulp,11,K00-K14
K02.6,Dental caries on smooth surface,11,K00-K14
K02.61,Dental caries on smooth surface limited to enamel,11,K00-K14
K02.62,Dental caries on smooth surface penetrating into dentin,11,K00-K14
K02.63,Dental caries on smooth surface penetrating into pulp,11,K00-K14
K02.7,Dental root caries,11,K00-K14
K02.9,"Dental caries, unspecified",11,K00-K14
K03,Other diseases of hard tissues of teeth,11,K00-K14
K03.0,Excessive attrition of teeth,11,K00-K14
K03.1,Abrasion of teeth,11,K00-K14
K03.2,Erosion of teeth,11,K00-K14
K03.3,Pathological resorption of teeth,11,K00-K14
K03.4,Hypercementosis,11,K00-K14
K03.5,Ankylosis of teeth,11,K00-K14
K03.6,Deposits [accretions] on teeth,11,K00-K14
K03.7,Posteruptive color changes of dental hard tissues,11,K00-K14
K03.8,Other specified diseases of hard tissues of teeth,11,K00-K14
K03.81,Cracked tooth,11,K00-K14
K03.89,Other specified diseases of hard tissues of teeth,11,K00-K14
K03.9,"Disease of hard tissues of teeth, unspecified",11,K00-K14
K04,Diseases of pulp and periapical tissues,11,K00-K14
K04.0,Pulpitis,11,K00-K14
K04.01,Reversible pulpitis,11,K00-K14
K04.02,Irreversible pulpitis,11,K00-K14
K04.1,Necrosis of pulp,11,K00-K14
K04.2,Pulp degeneration,11,K00-K14
K04.3,Abnormal hard tissue formation in pulp,11,K00-K14
K04.4,Acute apical periodontitis of pulpal origin,11,K00-K14
K04.5,Chronic apical periodontitis,11,K00-K14
K04.6,Periapical abscess with sinus,11,K00-K14
K04.7,Periapical abscess without sinus,11,K00-K14
K04.8,Radicular cyst,11,K00-K14
K04.9,Other and unspecified diseases of pulp and periapical tissues,11,K00-K14
K04.90,Unspecified diseases of pulp and periapical tissues,11,K00-K14
K04.99,Other diseases of pulp and periapical tissues,11,K00-K14
K05,Gingivitis and periodontal diseases,11,K00-K14
K05.0,Acute gingivitis,11,K00-K14
K05.00,"Acute gingivitis, plaque induced",11,K00-K14
K05.01,"Acute gingivitis, non-plaque induced",11,K00-K14
K05.1,Chronic gingivitis,11,K00-K14
K05.10,"Chronic gingivitis, plaque induced",11,K00-K14
K05.11,"Chronic gingivitis, non-plaque induced",11,K00-K14
K05.2,Aggressive periodontitis,11,K00-K14
K05.20,"Aggressive periodontitis, unspecified",11,K00-K14
K05.21,"Aggressive periodontitis, localized",11,K00-K14
K05.211,"Aggressive periodontitis, localized, slight",11,K00-K14
K05.212,"Aggressive periodontitis, localized, moderate",11,K00-K14
K05.213,"Aggressive periodontitis, localized, severe",11,K00-K14
K05.219,"Aggressive periodontitis, localized, unspecified severity",11,K00-K14
K05.22,"Aggressive periodontitis, generalized",11,K00-K14
K05.221,"Aggressive periodontitis, generalized, slight",11,K00-K14
K05.222,"Aggressive periodontitis, generalized, moderate",11,K00-K14
K05.223,"Aggressive periodontitis, generalized, severe",11,K00-K14
K05.229,"Aggressive periodontitis, generalized, unspecified severity",11,K00-K14
K05.3,Chronic periodontitis,11,K00-K14
K05.30,"Chronic periodontitis, unspecified",11,K00-K14
K05.31,"Chronic periodontitis, localized",11,K00-K14
K05.311,"Chronic periodontitis, localized, slight",11,K00-K14
K05.312,"Chronic periodontitis, localized, moderate",11,K00-K14
K05.313,"Chronic periodontitis, localized, severe",11,K00-K14
K05.319,"Chronic periodontitis, localized, unspecified severity",11,K00-K14
K05.32,"Chronic periodontitis, generalized",11,K00-K14
K05.321,"Chronic periodontitis, generalized, slight",11,K00-K14
K05.322,"Chronic periodontitis, generalized, moderate",11,K00-K14
K05.323,"Chronic periodontitis, generalized, severe",11,K00-K14
K05.329,"Chronic periodontitis, generalized, unspecified severity",11,K00-K14
K05.4,Periodontosis,11,K00-K14
K05.5,Other periodontal diseases,11,K00-K14
K05.6,"Periodontal disease, unspecified",11,K00-K14
K06,Other disorders of gingiva and edentulous alveolar ridge,11,K00-K14
K06.0,Gingival recession,11,K00-K14
K06.01,"Gingival recession, localized",11,K00-K14
K06.010,"Localized gingival recession, unspecified",11,K00-K14
K06.011,"Localized gingival recession, minimal",11,K00-K14
K06.012,"Localized gingival recession, moderate",11,K00-K14
K06.013,"Localized gingival recession, severe",11,K00-K14
K06.02,"Gingival recession, generalized",11,K00-K14
K06.020,"Generalized gingival recession, unspecified",11,K00-K14
K06.021,"Generalized gingival recession, minimal",11,K00-K14
K06.022,"Generalized gingival recession, moderate",11,K00-K14
K06.023,"Generalized gingival recession, severe",11,K00-K14
K06.1,Gingival enlargement,11,K00-K14
K06.2,Gingival and edentulous alveolar ridge lesions associated with trauma,11,K00-K14
K06.3,Horizontal alveolar bone loss,11,K00-K14
K06.8,Other specified disorders of gingiva and edentulous alveolar ridge,11,K00-K14
K06.9,"Disorder of gingiva and edentulous alveolar ridge, unspecified",11,K00-K14
K08,Other disorders of teeth and supporting structures,11,K00-K14
K08.0,Exfoliation of teeth due to systemic causes,11,K00-K14
K08.1,Complete loss of teeth,11,K00-K14
K08.10,"Complete loss of teeth, unspecified cause",11,K00-K14
K08.101,"Complete loss of teeth, unspecified cause, class I",11,K00-K14
K08.102,"Complete loss of teeth, unspecified cause, class II",11,K00-K14
K08.103,"Complete loss of teeth, unspecified cause, class III",11,K00-K14
K08.104,"Complete loss of teeth, unspecified cause, class IV",11,K00-K14
K08.109,"Complete loss of teeth, unspecified cause, unspecified class",11,K00-K14
K08.11,Complete loss of teeth due to trauma,11,K00-K14
K08.111,"Complete loss of teeth due to trauma, class I",11,K00-K14
K08.112,"Complete loss of teeth due to trauma, class II",11,K00-K14
K08.113,"Complete loss of teeth due to trauma, class III",11,K00-K14
K08.114,"Complete loss of teeth due to trauma, class IV",11,K00-K14
K08.119,"Complete loss of teeth due to trauma, unspecified class",11,K00-K14
K08.12,Complete loss of teeth due to periodontal diseases,11,K00-K14
K08.121,"Complete loss of teeth due to periodontal diseases, class I",11,K00-K14
K08.122,"Complete loss of teeth due to periodontal diseases, class II",11,K00-K14
K08.123,"Complete loss of teeth due to periodontal diseases, class III",11,K00-K14
K08.124,"Complete loss of teeth due to periodontal diseases, class IV",11,K00-K14
K08.129,"Complete loss of teeth due to periodontal diseases, unspecified class",11,K00-K14
K08.13,Complete loss of teeth due to caries,11,K00-K14
K08.131,"Complete loss of teeth due to caries, class I",11,K00-K14
K08.132,"Complete loss of teeth due to caries, class II",11,K00-K14
K08.133,"Complete loss of teeth due to caries, class III",11,K00-K14
K08.134,"Complete loss of teeth due to caries, class IV",11,K00-K14
K08.139,"Complete loss of teeth due to caries, unspecified class",11,K00-K14
K08.19,Complete loss of teeth due to other specified cause,11,K00-K14
K08.191,"Complete loss of teeth due to other specified cause, class I",11,K00-K14
K08.192,"Complete loss of teeth due to other specified cause, class II",11,K00-K14
K08.193,"Complete loss of teeth due to other specified cause, class III",11,K00-K14
K08.194,"Complete loss of teeth due to other specified cause, class IV",11,K00-K14
K08.199,"Complete loss of teeth due to other specified cause, unspecified class",11,K00-K14
K08.2,Atrophy of edentulous alveolar ridge,11,K00-K14
K08.20,Unspecified atrophy of edentulous alveolar ridge,11,K00-K14
K08.21,Minimal atrophy of the mandible,11,K00-K14
K08.22,Moderate atrophy of the mandible,11,K00-K14
K08.23,Severe atrophy of the mandible,11,K00-K14
K08.24,Minimal atrophy of maxilla,11,K00-K14
K08.25,Moderate atrophy of the maxilla,11,K00-K14
K08.26,Severe atrophy of the maxilla,11,K00-K14
K08.3,Retained dental root,11,K00-K14
K08.4,Partial loss of teeth,11,K00-K14
K08.40,"Partial loss of teeth, unspecified cause",11,K00-K14
K08.401,"Partial loss of teeth, unspecified cause, class I",11,K00-K14
K08.402,"Partial loss of teeth, unspecified cause, class II",11,K00-K14
K08.403,"Partial loss of teeth, unspecified cause, class III",11,K00-K14
K08.404,"Partial loss of teeth, unspecified cause, class IV",11,K00-K14
K08.409,"Partial loss of teeth, unspecified cause, unspecified class",11,K00-K14
K08.41,Partial loss of teeth due to trauma,11,K00-K14
K08.411,"Partial loss of teeth due to trauma, class I",11,K00-K14
K08.412,"Partial loss of teeth due to trauma, class II",11,K00-K14
K08.413,"Partial loss of teeth due to trauma, class III",11,K00-K14
K08.414,"Partial loss of teeth due to trauma, class IV",11,K00-K14
K08.419,"Partial loss of teeth due to trauma, unspecified class",11,K00-K14
K08.42,Partial loss of teeth due to periodontal diseases,11,K00-K14
K08.421,"Partial loss of teeth due to periodontal diseases, class I",11,K00-K14
K08.422,"Partial loss of teeth due to periodontal diseases, class II",11,K00-K14
K08.423,"Partial loss of teeth due to periodontal diseases, class III",11,K00-K14
K08.424,"Partial loss of teeth due to periodontal diseases, class IV",11,K00-K14
K08.429,"Partial loss of teeth due to periodontal diseases, unspecified class",11,K00-K14
K08.43,Partial loss of teeth due to caries,11,K00-K14
K08.431,"Partial loss of teeth due to caries, class I",11,K00-K14
K08.432,"Partial loss of teeth due to caries, class II",11,K00-K14
K08.433,"Partial loss of teeth due to caries, class III",11,K00-K14
K08.434,"Partial loss of teeth due to caries, class IV",11,K00-K14
K08.439,"Partial loss of teeth due to caries, unspecified class",11,K00-K14
